Time (ps),Radius of gyration (A)
638.0,31.216196579544178
640.0,31.232562260477792
642.0,31.256588546523652
644.0,31.215563755078268
646.0,31.23381087444492
648.0,31.223520885540815
650.0,31.231283231031536
652.0,31.227442295443765
654.0,31.251473167839404
656.0,31.21203284765851
658.0,31.24178392071098
660.0,31.238778855675797
662.0,31.22285698571538
664.0,31.236546036377494
666.0,31.2369603363737
668.0,31.224299786658033
670.0,31.224367033223515
672.0,31.218378700023642
674.0,31.22279267967462
676.0,31.22994515554605
678.0,31.222457515821596
680.0,31.24600923390339
682.0,31.237900750669006
684.0,31.237007469085
686.0,31.245537041135172
688.0,31.242556439747148
690.0,31.223148742020374
692.0,31.216872470487345
694.0,31.23569548807656
696.0,31.223577757111894
698.0,31.24618919435394
700.0,31.243453011379014
702.0,31.235097766051307
704.0,31.204365711378244
706.0,31.254832412095745
708.0,31.213362334961836
710.0,31.186496172805835
712.0,31.20698773331855
714.0,31.22639185801945
716.0,31.209297453940717
718.0,31.21623680099805
720.0,31.195581449795974
722.0,31.187061174932083
724.0,31.20125073050998
726.0,31.221643419272322
728.0,31.184156420482854
730.0,31.23087769751766
732.0,31.210079174136993
734.0,31.231125389513412
736.0,31.19637373197682
738.0,31.221144324058358
740.0,31.173605449784834
742.0,31.204754434690678
744.0,31.197932926554266
746.0,31.221332881876346
748.0,31.189892446066857
750.0,31.234794038717357
752.0,31.180353319949386
754.0,31.176262645387656
756.0,31.223061498284068
758.0,31.198551430527456
760.0,31.227442448831138
762.0,31.220122135171245
764.0,31.20734046758846
766.0,31.221705892279992
768.0,31.20629481253521
770.0,31.22242591604374
772.0,31.19930420700359
774.0,31.217344739478346
776.0,31.1979670373623
778.0,31.18392102569527
780.0,31.211447232338465
782.0,31.18407437804723
784.0,31.19375153661961
786.0,31.21486198765827
788.0,31.202702777481715
790.0,31.213569311429488
792.0,31.20903899554203
794.0,31.209327106049933
796.0,31.21439961945306
798.0,31.199892762682367
800.0,31.213522556732393
802.0,31.199039452927085
804.0,31.182338641972382
806.0,31.188212939959755
808.0,31.184531726339387
810.0,31.168329495973836
812.0,31.20578974182552
814.0,31.183659443530882
816.0,31.187498320200636
818.0,31.175777788927423
820.0,31.214060949304795
822.0,31.197866258884886
824.0,31.212601365864266
826.0,31.196837821625934
828.0,31.20980593170389
830.0,31.231806077650948
832.0,31.191461134949552
834.0,31.20599418328803
836.0,31.211055676218095
838.0,31.186025266172383
840.0,31.192066980228322
842.0,31.183751690808023
844.0,31.193999040151084
846.0,31.205070825950006
848.0,31.20732422890894
850.0,31.199898010594392
852.0,31.21112203645474
854.0,31.22385612988812
856.0,31.202860404806614
858.0,31.212845517348985
860.0,31.224295701258328
862.0,31.248279266621754
864.0,31.184973443105008
866.0,31.197419327726568
868.0,31.201475250347578
870.0,31.214656114584542
872.0,31.186933956118075
874.0,31.20042143364035
876.0,31.20157967073568
878.0,31.19357300090928
880.0,31.19978683915975
882.0,31.216720807602343
884.0,31.172351051415014
886.0,31.200387061506994
888.0,31.21328614610199
890.0,31.234614507978467
892.0,31.21468141773165
894.0,31.18814963957818
896.0,31.203591007706333
898.0,31.199187783003218
900.0,31.192906443450486
902.0,31.20478189916035
904.0,31.16465263081546
906.0,31.209806507040867
908.0,31.217105621562958
910.0,31.206343269556935
912.0,31.17221713159703
914.0,31.18763298489109
916.0,31.229434091720247
918.0,31.207855332532482
920.0,31.17473892892475
922.0,31.19516817913123
924.0,31.205447168834077
926.0,31.19389091383361
928.0,31.199930721616493
930.0,31.199781621162668
932.0,31.214598902607445
934.0,31.210693212450675
936.0,31.169526828185543
938.0,31.183994757440075
940.0,31.187252562145908
942.0,31.169230671522694
944.0,31.190470520855182
946.0,31.215209933305992
948.0,31.209396529158166
950.0,31.182082616552258
952.0,31.204398416027953
954.0,31.201402483860793
956.0,31.218273248285126
958.0,31.18156205819348
960.0,31.1905445890451
962.0,31.207095241562012
964.0,31.20792841984605
966.0,31.205976638432336
968.0,31.254797053310767
970.0,31.173084755688794
972.0,31.198285951682205
974.0,31.19898361150983
976.0,31.238088268155312
978.0,31.204529101048983
980.0,31.191147566970077
982.0,31.224698703622117
984.0,31.231593151114076
986.0,31.2308855817816
988.0,31.23179525306506
990.0,31.216029318562168
992.0,31.219952617653764
994.0,31.22422672799834
996.0,31.204783921302525
998.0,31.226809813083314
1000.0,31.19640993736302
1002.0,31.241620296967586
1004.0,31.240181748764492
1006.0,31.23480468530017
1008.0,31.205122086407826
1010.0,31.212397127726287
1012.0,31.238196929172727
1014.0,31.21846186678607
1016.0,31.208866536749486
1018.0,31.25329585577097
1020.0,31.20771147234786
1022.0,31.237766568875607
1024.0,31.215771933510645
1026.0,31.216517770422637
1028.0,31.224775836314837
1030.0,31.197868695100723
1032.0,31.254021269409677
1034.0,31.21350056825282
1036.0,31.2010056455512
1038.0,31.23082077571583
1040.0,31.189303545077472
1042.0,31.22171254093454
1044.0,31.19980415510264
1046.0,31.23139674674142
1048.0,31.206485278827927
1050.0,31.222279342328875
1052.0,31.213180954402855
1054.0,31.21766443838459
1056.0,31.219891334607286
1058.0,31.22196272238067
1060.0,31.207589676528144
1062.0,31.19978272681229
1064.0,31.22542569663185
1066.0,31.228940746681783
1068.0,31.211559697734476
1070.0,31.206472387182238
1072.0,31.176888749070763
1074.0,31.16199622856527
